x:-59.0778 y:383.0000 v:1.6502
x:-59.1360 y:384.0000 v:1.6543
x:-59.1938 y:385.0000 v:1.6584
x:-59.2510 y:386.0000 v:1.6625
x:-59.3078 y:387.0000 v:1.6666
x:-59.3640 y:388.0000 v:1.6707
x:-59.4198 y:389.0000 v:1.6748
x:-59.4750 y:390.0000 v:1.6790
x:-59.5298 y:391.0000 v:1.6831
x:-59.5840 y:392.0000 v:1.6872
x:-59.6378 y:393.0000 v:1.6913
x:-59.6910 y:394.0000 v:1.6954
x:-59.7438 y:395.0000 v:1.6995
x:-59.7960 y:396.0000 v:1.7036
x:-59.8478 y:397.0000 v:1.7077
x:-59.8990 y:398.0000 v:1.7118
x:-59.9498 y:399.0000 v:1.7159
x:-60.0000 y:400.0000 v:1.7200
x:-60.0498 y:401.0000 v:1.7241
x:-60.0990 y:402.0000 v:1.7282
x:-60.1478 y:403.0000 v:1.7323
x:-60.1960 y:404.0000 v:1.7364
x:-60.2438 y:405.0000 v:1.7405
x:-60.2910 y:406.0000 v:1.7446
x:-60.3378 y:407.0000 v:1.7487
x:-60.3840 y:408.0000 v:1.7528
x:-60.4298 y:409.0000 v:1.7569
x:-60.4750 y:410.0000 v:1.7610
x:-60.5198 y:411.0000 v:1.7650
x:-60.5640 y:412.0000 v:1.7691
x:-60.6078 y:413.0000 v:1.7732
x:-60.6510 y:414.0000 v:1.7773
x:-60.6938 y:415.0000 v:1.7814
x:-60.7360 y:416.0000 v:1.7855
x:-60.7778 y:417.0000 v:1.7896
x:-60.8190 y:418.0000 v:1.7936
x:-60.8598 y:419.0000 v:1.7977
x:-60.9000 y:420.0000 v:1.8018
x:-60.9398 y:421.0000 v:1.8059
x:-60.9790 y:422.0000 v:1.8100
x:-61.0178 y:423.0000 v:1.8140
x:-61.0560 y:424.0000 v:1.8181
x:-61.0938 y:425.0000 v:1.8222
x:-61.1310 y:426.0000 v:1.8263
x:-61.1678 y:427.0000 v:1.8303
x:-61.2040 y:428.0000 v:1.8344
x:-61.2398 y:429.0000 v:1.8385
x:-61.2750 y:430.0000 v:1.8426
x:-61.3098 y:431.0000 v:1.8466
x:-61.3440 y:432.0000 v:1.8507
x:-61.3778 y:433.0000 v:1.8548
x:-61.4110 y:434.0000 v:1.8588
x:-61.4438 y:435.0000 v:1.8629
x:-61.4760 y:436.0000 v:1.8670
x:-61.5078 y:437.0000 v:1.8710
x:-61.5390 y:438.0000 v:1.8751
x:-61.5698 y:439.0000 v:1.8791
x:-61.6000 y:440.0000 v:1.8832
x:-61.6298 y:441.0000 v:1.8873
x:-61.6590 y:442.0000 v:1.8913
x:-61.6878 y:443.0000 v:1.8954
x:-61.7160 y:444.0000 v:1.8994
x:-61.7438 y:445.0000 v:1.9035
x:-61.7710 y:446.0000 v:1.9075
x:-61.7978 y:447.0000 v:1.9116
x:-61.8240 y:448.0000 v:1.9156
x:-61.8498 y:449.0000 v:1.9197
x:-61.8750 y:450.0000 v:1.9238
x:-61.8998 y:451.0000 v:1.9278
x:-61.9240 y:452.0000 v:1.9318
x:-61.9478 y:453.0000 v:1.9359
x:-61.9710 y:454.0000 v:1.9399
x:-61.9938 y:455.0000 v:1.9440
x:-62.0160 y:456.0000 v:1.9480
x:-62.0378 y:457.0000 v:1.9521
x:-62.0590 y:458.0000 v:1.9561
x:-62.0798 y:459.0000 v:1.9602
x:-62.1000 y:460.0000 v:1.9642
x:-62.1198 y:461.0000 v:1.9682
x:-62.1390 y:462.0000 v:1.9723
x:-62.1578 y:463.0000 v:1.9763
x:-62.1760 y:464.0000 v:1.9804
x:-62.1938 y:465.0000 v:1.9844
x:-62.2110 y:466.0000 v:1.9884
x:-62.2278 y:467.0000 v:1.9925
x:-62.2440 y:468.0000 v:1.9965
x:-62.2598 y:469.0000 v:2.0005
x:-62.2750 y:470.0000 v:2.0046
x:-62.2898 y:471.0000 v:2.0086
x:-62.3040 y:472.0000 v:2.0126
x:-62.3178 y:473.0000 v:2.0166
x:-62.3310 y:474.0000 v:2.0207
x:-62.3438 y:475.0000 v:2.0247
x:-62.3560 y:476.0000 v:2.0287
x:-62.3678 y:477.0000 v:2.0327
x:-62.3790 y:478.0000 v:2.0368
x:-62.3898 y:479.0000 v:2.0408
x:-62.4000 y:480.0000 v:2.0448
x:-62.4098 y:481.0000 v:2.0488
x:-62.4190 y:482.0000 v:2.0528
x:-62.4278 y:483.0000 v:2.0569
x:-62.4360 y:484.0000 v:2.0609
x:-62.4438 y:485.0000 v:2.0649
x:-62.4510 y:486.0000 v:2.0689
x:-62.4578 y:487.0000 v:2.0729
x:-62.4640 y:488.0000 v:2.0769
x:-62.4698 y:489.0000 v:2.0809
x:-62.4750 y:490.0000 v:2.0850
x:-62.4798 y:491.0000 v:2.0890
x:-62.4840 y:492.0000 v:2.0930
x:-62.4878 y:493.0000 v:2.0970
x:-62.4910 y:494.0000 v:2.1010
x:-62.4938 y:495.0000 v:2.1050
x:-62.4960 y:496.0000 v:2.1090
x:-62.4978 y:497.0000 v:2.1130
x:-62.4990 y:498.0000 v:2.1170
x:-62.4997 y:499.0000 v:2.1210
x:-62.5000 y:500.0000 v:2.1250
x:-62.4997 y:501.0000 v:2.1290
x:-62.4990 y:502.0000 v:2.1330
x:-62.4978 y:503.0000 v:2.1370
x:-62.4960 y:504.0000 v:2.1410
x:-62.4937 y:505.0000 v:2.1450
x:-62.4910 y:506.0000 v:2.1490
x:-62.4878 y:507.0000 v:2.1530
x:-62.4840 y:508.0000 v:2.1570
x:-62.4797 y:509.0000 v:2.1610
x:-62.4750 y:510.0000 v:2.1650
x:-62.4698 y:511.0000 v:2.1689
x:-62.4640 y:512.0000 v:2.1729
x:-62.4578 y:513.0000 v:2.1769
x:-62.4510 y:514.0000 v:2.1809
x:-62.4437 y:515.0000 v:2.1849
x:-62.4360 y:516.0000 v:2.1889
x:-62.4278 y:517.0000 v:2.1929
x:-62.4190 y:518.0000 v:2.1968
x:-62.4098 y:519.0000 v:2.2008
x:-62.4000 y:520.0000 v:2.2048
x:-62.3897 y:521.0000 v:2.2088
x:-62.3790 y:522.0000 v:2.2128
x:-62.3678 y:523.0000 v:2.2167
x:-62.3560 y:524.0000 v:2.2207
x:-62.3438 y:525.0000 v:2.2247
x:-62.3310 y:526.0000 v:2.2287
x:-62.3177 y:527.0000 v:2.2326
x:-62.3040 y:528.0000 v:2.2366
x:-62.2897 y:529.0000 v:2.2406
x:-62.2750 y:530.0000 v:2.2446
x:-62.2597 y:531.0000 v:2.2485
x:-62.2440 y:532.0000 v:2.2525
x:-62.2277 y:533.0000 v:2.2565
x:-62.2110 y:534.0000 v:2.2604
x:-62.1937 y:535.0000 v:2.2644
x:-62.1760 y:536.0000 v:2.2684
x:-62.1577 y:537.0000 v:2.2723
x:-62.1390 y:538.0000 v:2.2763
x:-62.1197 y:539.0000 v:2.2802
x:-62.1000 y:540.0000 v:2.2842
x:-62.0797 y:541.0000 v:2.2882
x:-62.0590 y:542.0000 v:2.2921
x:-62.0377 y:543.0000 v:2.2961
x:-62.0160 y:544.0000 v:2.3000
x:-61.9937 y:545.0000 v:2.3040
x:-61.9710 y:546.0000 v:2.3079
x:-61.9477 y:547.0000 v:2.3119
x:-61.9240 y:548.0000 v:2.3158
x:-61.8997 y:549.0000 v:2.3198
x:-61.8750 y:550.0000 v:2.3238
x:-61.8497 y:551.0000 v:2.3277
x:-61.8240 y:552.0000 v:2.3316
x:-61.7977 y:553.0000 v:2.3356
x:-61.7710 y:554.0000 v:2.3395
x:-61.7437 y:555.0000 v:2.3435
x:-61.7160 y:556.0000 v:2.3474
x:-61.6877 y:557.0000 v:2.3514
x:-61.6590 y:558.0000 v:2.3553
x:-61.6297 y:559.0000 v:2.3593
x:-61.6000 y:560.0000 v:2.3632
x:-61.5697 y:561.0000 v:2.3671
x:-61.5390 y:562.0000 v:2.3711
x:-61.5077 y:563.0000 v:2.3750
x:-61.4760 y:564.0000 v:2.3790
x:-61.4437 y:565.0000 v:2.3829
x:-61.4110 y:566.0000 v:2.3868
x:-61.3777 y:567.0000 v:2.3908
x:-61.3440 y:568.0000 v:2.3947
x:-61.3097 y:569.0000 v:2.3986
x:-61.2750 y:570.0000 v:2.4026
x:-61.2397 y:571.0000 v:2.4065
x:-61.2040 y:572.0000 v:2.4104
x:-61.1677 y:573.0000 v:2.4143
x:-61.1310 y:574.0000 v:2.4183
x:-61.0937 y:575.0000 v:2.4222
x:-61.0560 y:576.0000 v:2.4261
x:-61.0177 y:577.0000 v:2.4300
x:-60.9790 y:578.0000 v:2.4340
x:-60.9397 y:579.0000 v:2.4379
x:-60.9000 y:580.0000 v:2.4418
x:-60.8597 y:581.0000 v:2.4457
x:-60.8190 y:582.0000 v:2.4496
x:-60.7777 y:583.0000 v:2.4536
x:-60.7360 y:584.0000 v:2.4575
x:-60.6937 y:585.0000 v:2.4614
x:-60.6510 y:586.0000 v:2.4653
x:-60.6077 y:587.0000 v:2.4692
x:-60.5640 y:588.0000 v:2.4731
x:-60.5197 y:589.0000 v:2.4770
x:-60.4750 y:590.0000 v:2.4810
x:-60.4297 y:591.0000 v:2.4849
x:-60.3840 y:592.0000 v:2.4888
x:-60.3377 y:593.0000 v:2.4927
x:-60.2910 y:594.0000 v:2.4966
x:-60.2437 y:595.0000 v:2.5005
x:-60.1960 y:596.0000 v:2.5044
x:-60.1477 y:597.0000 v:2.5083
x:-60.0990 y:598.0000 v:2.5122
x:-60.0497 y:599.0000 v:2.5161
x:-60.0000 y:600.0000 v:2.5200
x:-59.9497 y:601.0000 v:2.5239
x:-59.8990 y:602.0000 v:2.5278
x:-59.8477 y:603.0000 v:2.5317
x:-59.7960 y:604.0000 v:2.5356
x:-59.7437 y:605.0000 v:2.5395
x:-59.6910 y:606.0000 v:2.5434
x:-59.6377 y:607.0000 v:2.5473
x:-59.5840 y:608.0000 v:2.5512
x:-59.5297 y:609.0000 v:2.5551
x:-59.4750 y:610.0000 v:2.5590
x:-59.4197 y:611.0000 v:2.5628
x:-59.3640 y:612.0000 v:2.5667
x:-59.3077 y:613.0000 v:2.5706
x:-59.2510 y:614.0000 v:2.5745
x:-59.1937 y:615.0000 v:2.5784
x:-59.1360 y:616.0000 v:2.5823
x:-59.0777 y:617.0000 v:2.5862
x:-59.0190 y:618.0000 v:2.5900
x:-58.9597 y:619.0000 v:2.5939
x:-58.9000 y:620.0000 v:2.5978
x:-58.8397 y:621.0000 v:2.6017
x:-58.7790 y:622.0000 v:2.6056
x:-58.7177 y:623.0000 v:2.6094
x:-58.6560 y:624.0000 v:2.6133
x:-58.5937 y:625.0000 v:2.6172
x:-58.5310 y:626.0000 v:2.6211
x:-58.4677 y:627.0000 v:2.6249
x:-58.4040 y:628.0000 v:2.6288
x:-58.3397 y:629.0000 v:2.6327
x:-58.2750 y:630.0000 v:2.6366
x:-58.2097 y:631.0000 v:2.6404
x:-58.1440 y:632.0000 v:2.6443
x:-58.0777 y:633.0000 v:2.6482
x:-58.0110 y:634.0000 v:2.6520
x:-57.9437 y:635.0000 v:2.6559
